sampleID	site	month	year	season	cat	cat2	month.year	type	colony.name	colony.name2	colony.no	lesion.name	lesion.type	lesion.size	progr.rate	date
LP155	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	C	C	78	78-light blue 	A	0.3	0.03	8/23/2024
LP156	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	C	C	78	78-orange	S	1.01	0	8/23/2024
LP157	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	C	C	78	78-pink	S	0.78	0	8/23/2024
LP158	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	C	C	78	78-yellow	A	2.62	0.57	8/23/2024
LP159	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	B	B	74	74-gold	S	0.3	0	8/23/2024
LP16	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	D	D	79	79-red	S	0.85	0	11/24/2023
LP160	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	B	B	74	74-light blue 	S	0.3	0	8/23/2024
LP161	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	B	B	74	74-orange	S	0.92	0	8/23/2024
LP162	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	B	B	74	74-pink	S	0.09	0	8/23/2024
LP163	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	B	B	74	74-yellow	S	0.4	0	8/23/2024
LP164	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	D	D	79	79-gold	A	1.38	0.37	8/23/2024
LP165	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	D	D	79	79-light blue 	S	0.62	0	8/23/2024
LP166	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	D	D	79	79-orange	S	2.6	0	8/23/2024
